11/2017;    0.00
12/2017;    0.00
01/2018;    0.00
02/2018;    0.00
03/2018;    0.00
04/2018;    0.00
05/2018;    0.00
06/2018;    0.00
07/2018;    0.00
08/2018;    0.00
09/2018;    0.00
10/2018;    0.00
11/2018;    0.00
12/2018;    0.00
01/2019;    0.00
02/2019;    0.00
03/2019;    0.00
04/2019;    0.00
05/2019;    0.00
06/2019;    0.00
07/2019;    0.00
08/2019;    0.00
09/2019;    0.00
10/2019;    0.00
11/2019;    0.00
12/2019;    0.00
01/2020;    0.08
02/2020;    0.03
03/2020;    0.09
04/2020;    0.57
05/2020;    1.99
06/2020;    3.04
07/2020;    2.65
08/2020;    1.92
09/2020;    1.32
10/2020;    0.80
11/2020;    0.60
12/2020;    0.17
01/2021;    0.07
02/2021;    0.02
03/2021;    0.09
04/2021;    0.57
05/2021;    1.99
06/2021;    3.04
07/2021;    2.65
08/2021;    1.92
09/2021;    1.32
10/2021;    0.01
11/2021;    0.00
12/2021;    0.00
01/2022;    0.00
02/2022;    0.00
03/2022;    0.09
04/2022;    0.57
05/2022;    1.99
06/2022;    3.04
07/2022;    2.65
08/2022;    1.92
09/2022;    1.32
10/2022;    0.80
11/2022;    0.60
12/2022;    0.17
01/2023;    0.07
02/2023;    0.04
03/2023;    0.09
04/2023;    0.55
